CVE_ENT,CVE_MUN,CVE_LOC,AGEB,MANZANA
09,014,0001,0717,003
09,007,0001,2475,006
09,015,0001,1498,023
09,013,0001,0245,007
09,006,0001,0043,012
09,015,0001,0767,003
09,015,0001,0818,017
09,007,0001,0178,012
09,015,0001,0767,004
09,004,0001,0176,035
09,002,0001,0294,001
09,005,0001,0489,003
09,003,0001,1660,016
09,002,0001,0468,014
09,003,0001,0696,023
09,005,0001,0050,063
09,003,0001,0056,006
09,002,0001,0468,017
09,003,0001,015A,016
09,003,0001,0200,004
09,003,0001,0130,009
09,002,0001,0650,007
09,005,0001,1449,016
09,002,0001,0716,018
09,006,0001,0128,006
09,015,0001,0339,003
09,006,0001,0486,006
09,006,0001,0293,009
09,007,0001,0892,012
09,006,0001,1094,033
09,005,0001,1129,026
09,007,0001,0981,022
09,015,0001,0663,012
09,005,0001,135A,006
09,015,0001,0733,007
09,015,0001,0748,014
09,015,0001,0907,012
09,015,0001,0964,003
09,015,0001,0358,003
09,015,0001,0358,008
09,016,0001,0285,016
09,015,0001,0466,010
09,014,0001,0384,019
09,016,0001,0410,001
09,015,0001,095A,002
09,015,0001,0697,003
09,015,0001,0752,013
09,015,0001,0659,010
09,015,0001,0644,002
09,015,0001,0644,013
09,015,0001,0659,006
09,015,0001,0589,013
09,015,0001,0644,017
09,015,0001,0610,005
09,015,0001,0678,014
09,010,0001,0116,025
09,016,0001,0849,001
09,016,0001,1226,018
09,015,0001,1318,010
09,015,0001,1534,009
09,008,0001,0122,019
09,015,0001,0502,007
09,015,0001,1341,010
09,017,0001,0028,001
09,015,0001,0786,003
09,016,0001,1071,007
09,016,0001,0603,026
09,015,0001,1036,008
09,017,0001,0583,012
09,016,0001,0213,005
09,014,0001,0384,018
09,010,0001,1133,030
09,010,0001,1129,012
09,015,0001,0771,007
09,015,0001,070A,006
09,010,0001,1190,028
09,015,0001,145A,016
09,015,0001,095A,009
09,015,0001,0818,005
09,010,0001,128A,008
09,015,0001,0803,010
09,015,0001,0752,010
09,015,0001,095A,002
09,015,0001,0678,008
09,015,0001,0856,011
09,014,0001,0933,008
09,015,0001,0733,007
09,015,0001,1445,001
09,015,0001,1356,011
09,014,0001,0859,007
09,015,0001,1017,018
09,014,0001,0933,008
09,014,0001,0613,009
09,015,0001,056A,010
09,015,0001,0733,008
09,015,0001,1040,019
09,014,0001,0990,018
09,016,0001,0482,002
09,016,0001,0637,008
09,016,0001,0162,019
09,016,0001,0872,018
09,014,0001,069A,005
09,015,0001,0894,005
09,014,0001,0810,008
09,015,0001,0748,006
09,015,0001,1534,013
09,015,0001,056A,006
09,007,0001,0017,016
09,014,0001,069A,004
09,007,0001,0445,029
09,003,0001,0677,008
09,007,0001,4414,032
09,014,0001,0581,003
09,012,0001,0430,001
09,016,0001,1160,024
09,016,0001,1160,018
09,005,0001,3407,001
09,007,0001,1960,018
09,014,0001,0505,010
09,014,0001,0577,030
09,004,0001,0369,003
09,006,0001,0128,046
09,005,0001,1275,012
09,006,0001,0946,041
09,007,0001,0958,010
09,007,0001,1208,006
09,003,0001,0126,007
09,007,0001,1246,003
09,003,0001,0287,041
09,003,0001,015A,019
09,008,0001,0086,011
09,007,0001,5107,002
09,010,0001,1203,007
09,008,0001,032A,011
09,010,0001,1025,005
09,010,0001,1129,002
09,010,0001,0987,025
09,010,0001,0031,006
09,010,0001,128A,026
09,010,0001,0690,011
09,012,0001,0483,006
09,012,0001,1369,048
09,012,0001,0479,002
09,010,0001,1684,050
09,013,0001,0300,001
09,015,0001,0818,002
09,015,0001,0818,002
09,015,0001,0771,003
09,015,0001,0818,001
09,012,0001,2174,001
09,015,0001,0697,012
09,014,0001,0558,009
09,015,0001,049A,007
09,015,0001,049A,009
09,016,0001,0482,011
09,015,0001,0748,012
09,015,0001,0771,022
09,015,0001,1125,009
09,015,0001,095A,009
09,015,0001,1036,021
09,015,0001,095A,010
09,014,0001,0971,007
